name of product                                                                                                     , price    , how many in stock, description                                                                                                                                                                                                                                                                                                                         , type       , features
Eva Clinic Babe Conditioner 200 Ml                                                                                  , LE 90.00 ,                60, "This exclusive Complete Care Action (CCA) system protects your baby’s hair from root to tip to keep it hydrated, soft, and strong."                                                                                                                                                                                                ,            , Baby Care; Eva Skin Clinic Bebe
Eva Clinic Bebe Wipes (60 Wipes Per Pack)                                                                           , LE 58.50 ,                19, This innovative natural oil-based formula provides your baby’s skin with the ultimate care and protection. It keeps skin soft and healthy through its Complete Care Action (CCA).                                                                                                                                                   ,            , Baby Care; Eva Skin Clinic Bebe
Eva Clinic Bebe Diaper Rash Cream 100 Gm                                                                            , LE 81.00 ,                 0, "Diaper Rash Cream with Zinc Oxide and Natural Oils for extra skin protection. It provides:; Skin Protection, Skin Relief and Skin Repair"                                                                                                                                                                                          , cream      , Baby Care; Eva Skin Clinic Bebe
Eva Clinic Bebe Wipes (25 Wipes Per Pack)                                                                           , LE 45.00 ,                 0, This innovative natural oil-based formula provides your baby’s skin with the ultimate care and protection. It keeps skin soft and healthy through its Complete Care Action (CCA).                                                                                                                                                   ,            , Baby Care; Eva Skin Clinic Bebe
Eva Clinic Bebe Oil 200 Ml                                                                                          , LE 90.00 ,                 0, This innovative natural oil-based formula provides your baby’s skin with the ultimate care and protection. It keeps skin soft and healthy through its Complete Care Action (CCA).                                                                                                                                                   , oil        , Baby Care; Eva Skin Clinic Bebe
Aloe Eva Hair Strengthening Conditioner With Aloe Vera & Moroccan Argan Oil 230 Ml                                  , LE 72.00 ,               270, "Aloe Eva Strengthening Hair Conditioner unique formula, rich with Aloe Vera &amp; Moroccan Argan Oil, provides hair with instant shine and frizz control while repairing, softening and moisturizing the hair shaft, and reducing its split ends."                                                                                 , oil        , Aloe Eva; Hair Care
Aloe Eva Hair Strengthening Shampoo With Aloe Vera & Moroccan Argan Oil 230 Ml                                      , LE 67.50 ,               235, "Aloe Eva Strengthening Hair Shampoo unique formula, rich with Aloe Vera &amp; Moroccan Argan Oil, provides hair with instant shine and frizz control while repairing, softening and moisturizing the hair shaft, and reducing its split ends."                                                                                     , oil        , Aloe Eva; Hair Care
Aloe Eva Hair Strengthening Mask Pouch With Aloe Vera & Moroccan Argan Oil 250 Gm                                   , LE 75.00 ,               267, "Aloe Eva Strengthening Hair Mask with Aloe Vera and Moroccan Argan Oil, provides a deep conditioning effect, reduces frizz and breakage while making your hair soft and shiny."                                                                                                                                                    , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Mask Pouch With Aloe Vera & Silk Proteins 250 Gm                                        , LE 75.00 ,               290, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. Aloe Eva Hair Mask contains a special blend of Aloe Vera &amp; Silk Proteins that offers a deep and intensive treat"  ,            , Aloe Eva; Hair Care
Aloe Eva Hair Strengthening Oil Replacement With Aloe Vera & Moroccan Argan Oil 250 Ml                              , LE 81.00 ,                17, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals and 17 proteins deeply nourishes and strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. ALOE EVA Hair Oil Replacement contains special blend of Aloe Vera &amp; Moroccan Argan Oil that leaves your hair shiny,"  , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Mask Pouch With Aloe Vera & Yoghurt Proteins 250 Gm                                     , LE 75.00 ,               315, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. Aloe Eva Hair Mask contains a special blend of Aloe Vera &amp; Yoghurt Proteins that offers a deep &amp; intensive"   ,            , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil Replacement With Aloe Vera & Silk Proteins 250 Ml ( Special Offer 25 % )            , LE 81.00 ,                57, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals and 17 proteins deeply nourishes and strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. ALOE EVA Hair Oil Replacement contains a special blend of Aloe Vera and Silk Proteins that offers a deep and intensive"   , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil Replacement With Aloe Vera & Yoghurt Proteins 250 Ml ( Special Offer 25 % )         , LE 81.00 ,                64, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals and 17 proteins deeply nourishes and strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. ALOE EVA Hair Oil Replacement contains a special blend of Aloe Vera and Yoghurt Proteins that offers a deep and intensi"  , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Mask Pouch With Aloe Vera 250 Gm                                                        , LE 75.00 ,               335, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. Aloe Eva Hair Mask offers a deep &amp; intensive treatment that nourishes the scalp &amp; fortifies the roots"        ,            , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Ampoules With Aloe Vera ( 4 Ampoules * 15 Ml )                                          , LE 90.00 ,                24, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. ALOE EVA Hair Ampoules offer a deep &amp; intensive treatment that nourishes the scalp &amp; fortifies the roots."    ,            , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil Replacement With Aloe Vera 250 Ml ( Special Offer 25 % )                            , LE 81.00 ,                58, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals and 17 proteins deeply nourishes and strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. ALOE EVA Hair Oil Replacement offers a deep and intensive treatment that nourishes the scalp and fortifies the roots."    , oil        , Aloe Eva; Hair Care
Aloe Eva Hair Henna Brown ( 6 sachets * 10 Gm )                                                                     , LE 117.00,                 0, "Aloe Eva Hair Henna contains concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins, that deeply nourishes and strengthens hair from root to tip reducing hair fall and promoting healthy growth.100% grey hair coverage Moisturizes, nourishes &amp; strengthens hair. Aloe Vera dramatically revitalizes y"  ,            , Aloe Eva; Hair Care
Aloe Eva Hair Henna Black ( 6 sachets * 10 Gm )                                                                     , LE 117.00,                 0, "Aloe Eva Hair Henna contains concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins, that deeply nourishes and strengthens hair from root to tip reducing hair fall and promoting healthy growth.100% grey hair coverage Moisturizes, nourishes &amp; strengthens hair. Aloe Vera dramatically revitalizes y"  ,            , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Ampoules With Aloe Vera & Yoghurt Proteins ( 4 Ampoules * 15 Ml )                       , LE 90.00 ,               101, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. ALOE EVA Hair Ampoules contain a special blend of Aloe Vera &amp; Yoghurt Proteins that offer a deep &amp; intensiv"  ,            , Aloe Eva; Hair Care
Aloe Eva Hair Styling Cream With Aloe Vera 185 Gm                                                                   , LE 76.50 ,                43, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, reducing hair fall and promoting healthy growth. Aloe Vera dramatically revitalizes your hair."                                                                                               , cream      , Aloe Eva; Hair Care
Aloe Eva Hair Styling Cream With Aloe Vera 85 Gm                                                                    , LE 45.00 ,                43, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, reducing hair fall and promoting healthy growth. Aloe Vera dramatically revitalizes your hair."                                                                                               , cream      , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil With Aloe Vera & Amla Extract 255 Ml ( Special Offer 10 % )                         , LE 68.85 ,                52, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes and strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. ALOE EVA Strengthening Hair Oil with Aloe Vera &amp; AMLA Extracts offers a deep &amp; intensive treatment that nouri"  , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil With Aloe Vera & Olive Oil 255 Ml ( Special Offer 10 % )                            , LE 68.85 ,                46, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes and strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. Aloe Eva Strengthening Hair Oil with Aloe Vera Extract &amp; Olive Oil offers a deep &amp; intensive treatment that n"  , oil        , Aloe Eva; Hair Care
Aloe Eva Hair Styling Cream With Aloe Vera 45 Gm                                                                    , LE 31.50 ,               125, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, reducing hair fall and promoting healthy growth. Aloe Vera dramatically revitalizes your hair."                                                                                               , cream      , Aloe Eva; Hair Care
Aloe Eva Hair Strengthening Ampoules With Aloe Vera & Moroccan Argan Oil ( 4 Ampoules * 15 Ml )                     , LE 90.00 ,                73, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, thus reducing hair fall. ALOE EVA Hair Ampoules contain a special blend of Aloe Vera &amp; Moroccan Argan Oil that repairs split ends and damaged hair, while reducing frizz, leaving your"   , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil With Aloe Vera 255 Ml                                                               , LE 76.50 ,                40, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, reduces hair fall and provides healthy growth. Aloe Vera dramatically revitalizes your hair. Aloe Eva Hair Oil offers a deep &amp; intensive treatment that nourishes the scalp &amp; forti"  , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Oil With Aloe Vera 85 Ml                                                                , LE 40.50 ,                45, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, reduces hair fall and provides healthy growth. Aloe Vera dramatically revitalizes your hair. Aloe Eva Hair Oil offers a deep &amp; intensive treatment that nourishes the scalp &amp; forti"  , oil        , Aloe Eva; Hair Care
Aloe Eva Strengthening Hair Ampoules With Aloe Vera & Silk Proteins ( 4 Ampoules * 15 Ml )                          , LE 90.00 ,                61, "Concentrated Aloe Vera, rich in 12 vitamins, 20 minerals &amp; 17 proteins deeply nourishes &amp; strengthens hair from root to tip, promoting healthy growth. Aloe Vera dramatically revitalizes your hair. ALOE EVA Hair Ampoules contain a special blend of Aloe Vera &amp; Silk Proteins that offer a deep &amp; intensive t"  ,            , Aloe Eva; Hair Care
