transliteration,arabic_script,arabic_alternates,english_meanings,part_of_speech,dialect,gender,plural,plural_arabic,category,notes,verb_forms
accumulate,‫ﺟﹷﻤﹽﹷﻊ‬,‫ﻳﹻﺠﹷﻤﹽﹷﻊ‬ | ‫ﻣﹹﺠﹷﻤﹽﹷﻊ‬,accumulate,v inf | v p,EG,,,,possessions: ownership,,p: accumulated | pass: accumulated
accurate,‫ﺩﹶﻗﻴﻖ‬,‫ﺩﹶﻗﻴﻘﹷﺔ‬ | ‫ﺩﹶﻗﻴﻘﻴﻦ‬,accurate,adj | adj m,MS,m,,,quantity: accuracy,,
accurately,‫ﺑﹻﺎﹺﻟﻈﹷﺒﻂ‬,‫ﺑﹻﺪﹺﻗﹽﹷﺔ‬,accurately,adv,MS,,,,quantity: accuracy,,
accusation,‫ﺗﹹﻬﻤﹷﺔ‬,‫ﺗﹹﻬﹷﻢ‬ | ‫ﺷﹷﻜﻮﻯ‬ | ‫ﺷﹷﻜﺎﹶﻭﻱ‬,accusation,n s | n f | n m,MS,f | m,accusations,,society: law,,
accuse,,,accuse,v inf,,,,,society: law,,p: accused | pass: accused
accused,‫ﺇﺗﹽﹷﻬﹷﻢ‬,‫ﻳﹻﺘﹽﹻﻬﹻﻢ‬ | ‫ﻣﹹﺘﹽﹷﻬﹻﻢ‬,,v p,MS,,,,,,
EN adj: accused,‫ﻣﹹﺘﹽﹷﻬﹷﻢ‬,‫ﻣﹹﺘﹽﹷﻬﹷﻤﹷﺔ‬ | ‫ﻣﹹﺘﹽﹷﻬﹷﻤﻴﻦ‬,,adj m,MS,m,,,society: law,,
accustomed,‫ﺇﺗﻌﹷﻮﹼﹺﺩ‬,‫ﻳﹻﺘﻌﹷﻮﹼﹺﺩ‬ | ‫ﻣﹹﺘﹷﻌﹷﻮﹼﹺﺩ‬ | ‫ﻣﹻﺘﻌﹷﻮﹼﹺﺩﻋﹷﻠﻰ‬ | ‫ﻣﹻﺘﻌﹷﻮﹼﹺﺩﹶﺓﻋﹷﻠﻰ‬ | ‫ﻣﹻﺘﻌﹷﻮﹼﹺﺩﻳﻦﻋﹷﻠﻰ‬,,vi p | part m,MS | EG,m,,,emotion: comfort,1) EN vi inf: (be) accustomed (to) | 2) EN adj: accustomed,p: (was) accustomed (to)
ace,‫ﺁﺱ‬,,ace,n | n m,EG,m,,,society: games,,
ache,‫ﺃﻟﹷﻢ‬,‫ﺁﻻﹶﻡ‬,ache,n s | n m,MS,m,aches,,people: senses,,
